niche_breadth,type
14.48302872,rare
17.64687169,rare
25.88024883,rare
17.95145631,rare
23.60806916,rare
21.22279793,rare
19.14018692,rare
24.52694611,rare
14.62857143,rare
24.38095238,rare
26.25641026,rare
11.66951567,rare
15.93774319,rare
11.22407794,rare
25.64228935,rare
20.54649682,rare
20.23713927,rare
22.74894217,rare
23.5459854,rare
27.57094017,rare
17.6273224,rare
15.46404602,rare
12.99181669,rare
31.0078125,rare
17.67928731,rare
21.28150134,rare
27,rare
25.44230769,rare
13.87762238,rare
20.88947368,rare
20.72584856,rare
23.0755814,rare
15.53424658,rare
12.6,rare
13.59246575,rare
16.5375,rare
13.2079459,rare
13.79082083,rare
26.0851419,rare
24.14992272,rare
20.37157757,rare
27.26876091,rare
20.58629776,rare
20.31859558,rare
16.71122995,rare
22.34883721,rare
26.60207612,rare
18.43645084,rare
23.36778116,rare
20.66666667,rare
23.72839506,rare
24.2064,rare
14.2056338,rare
17.2116041,rare
20.09163347,rare
32.39614561,rare
24.1291866,rare
11.3495874,rare
21.95280236,rare
12.9426087,rare
15.28131417,rare
27.87265918,rare
15.80042463,rare
16.57461024,rare
18.84050633,rare
11.25869894,rare
16.57461024,rare
9.480254777,rare
22.21492537,rare
16.77090493,rare
23.05669291,rare
20.08367627,rare
17.04423749,rare
9.966643975,rare
23.12954186,rare
20.08367627,rare
18.98962387,rare
17.57623049,rare
8.867958813,rare
32,rare
23.22580645,rare
21.36498516,rare
27.69230769,rare
18.8976378,rare
27.69230769,rare
16.07142857,rare
12.94964029,rare
11.94029851,rare
16.70533643,rare
12.54355401,rare
22.58532695,rare
23.56239601,rare
23.40661157,rare
24.45768566,rare
19.58644537,rare
18.36705577,rare
17.33292534,rare
12.36768559,rare
17.53652393,rare
13.73175542,rare
25.88104089,rare
17.76020408,rare
19.61126761,rare
18.03626943,rare
24.51408451,rare
18.22513089,rare
20.52323838,rare
32.51543943,rare
24.93442623,rare
18.03557312,rare
6.27647868,rare
26.47775629,rare
12.10344828,rare
24.66486486,rare
12.59925094,rare
21.56410256,rare
18.58563536,rare
9.63219228,rare
18.1911967,rare
17.56308101,rare
21.36510501,rare
15.11428571,rare
27.15605749,rare
21.71592775,rare
10.45454545,rare
16.67717528,rare
21.43435981,rare
13.26479438,rare
21.44554455,rare
22.8,rare
24.42857143,rare
13.12727273,rare
19.57228916,rare
25.58267717,rare
10.44694534,rare
15.28941176,rare
18.40793201,rare
15.92647059,rare
10.86622074,rare
19.75075988,rare
15.92647059,rare
16.5616083,rare
17.3256445,rare
24.98825832,rare
20.4304,rare
22.05354059,rare
16.10214376,rare
13.51216931,rare
22.36252189,rare
17.3256445,rare
16.06163522,rare
22.68028419,rare
14.23522854,rare
26.76939203,rare
27.62995595,rare
25.49593496,rare
20.63157895,rare
23.05882353,rare
16.04092072,rare
14.86255924,rare
17.76770538,rare
13.06574761,rare
26.49677419,rare
24.79074447,rare
7.744186047,rare
25.7223382,rare
26.15923567,rare
18.58371041,rare
21.42782609,rare
19.77688604,rare
5.948869223,rare
16.13333333,rare
15.20100503,rare
19.45337621,rare
16.99438202,rare
22.24264706,rare
9.664536741,rare
12.34693878,rare
28.00925926,rare
25.01263158,rare
18.65149137,rare
5.518346493,rare
25.01263158,rare
21.10301954,rare
23.06990291,rare
17.653789,rare
23.15984405,rare
20.51986183,rare
26.63013699,rare
25.13793103,rare
22.692607,rare
6.21086262,rare
17.00291545,rare
16.29050279,rare
19.18421053,rare
24.09917355,rare
19.44,rare
25.05251641,rare
25.38580931,rare
17.4261796,rare
19.11352254,rare
25.16263736,rare
22.85229541,rare
21.56120527,rare
16.37911302,rare
14.43757881,rare
17.21654135,rare
27.40487805,rare
14.1511335,rare
10.8875969,rare
28.37373737,rare
26.75238095,rare
9.032154341,rare
16.05142857,rare
27.27184466,rare
23.90638298,rare
19.92198582,rare
21.44274809,rare
13.97512438,rare
22.472,rare
20.76271186,rare
14.64143426,rare
15.95513748,rare
23.70967742,rare
10.31337699,rare
15.77253219,rare
20.684803,rare
19.51327434,rare
17.04018547,rare
22.36308316,rare
23.81209503,rare
11.03673469,rare
14.38297872,rare
24.47058824,rare
28.61375661,rare
18.58419244,rare
5.598343685,rare
25.27102804,rare
20.17910448,rare
23.61572052,rare
16.33836858,rare
20.40754717,rare
24.96235294,rare
23.11328976,rare
19.18444846,rare
18.45043478,rare
19.32422587,rare
22.14822547,rare
18.57968476,rare
20.20761905,rare
18.64499121,rare
23.21444201,rare
20.13092979,rare
11.51900109,rare
13.08138101,rare
14.16421896,rare
16.39721793,rare
25.08037825,rare
15.35311143,rare
8.892307692,rare
19.19557196,rare
19.19557196,rare
15.21052632,rare
11.93119266,rare
12.62621359,rare
18.12543554,rare
19.19557196,rare
18.25263158,rare
20.08494208,rare
11.45814978,rare
21.06072874,rare
28.58241758,rare
24.58072289,rare
14.72005772,rare
21.6581741,rare
21.12008282,rare
19.57965451,rare
27.20266667,rare
