Class	FW1	FW10	FW11	FW12	FW13	FW14	FW15	FW16	FW17	FW18	FW2	FW3	FW4	FW5	FW6	FW7	FW8	FW9	RE1	RE10	RE11	RE12	RE2	RE3	RE4	RE5	RE6	RE7	RE8	RE9	SW1	SW10	SW11	SW12	SW13	SW14	SW15	SW16	SW17	SW18	SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9
Fusobacteriia	0.0195	0.0682	0.0624	0.296	0.0409	0.132	0.123	0	0.00974	0.154	0.0448	0.0312	0.0312	0.0468	0.0585	0.382	0.138	0.205	0.0136	0.0234	0.039	0.0429	0.0526	0.0234	0.00195	0.0351	0.00195	0.0273	0.0253	0.037	0.0214	0.0156	0.0136	0.0195	0.00585	0.00195	0.00195	0.00585	0.00585	0.0312	0.0253	0.00779	0.0292	0.0565	0.0351	0.0175	0.00779	0.0117
Nitrospira	0.0312	0.037	0.0273	0.039	0.0234	0.0292	0.0214	0.0175	0.00974	0.0507	0.0546	0.0312	0.037	0.0507	0.0292	0.039	0.0682	0.0351	0.00974	0.0273	0.0117	0.0331	0.0175	0.0292	0.00585	0.0351	0.0565	0.0721	0.076	0.0526	0.0156	0.0175	0.0195	0.0234	0.0351	0.0273	0.0214	0.0117	0.0136	0.0175	0.0117	0.00779	0.0214	0.0234	0.00779	0.0234	0.0195	0.0487
Acidobacteria_Gp6	0.0662	0.0312	0.0175	0.039	0.0039	0.0487	0.0292	0.0253	0.0156	0.0468	0.0351	0.0312	0.0585	0.0429	0.0312	0.0331	0.0195	0.0195	0.0214	0.0039	0.00585	0.0039	0.0175	0.0292	0.00585	0.0175	0.0448	0.00974	0.00195	0.00974	0.00974	0.0156	0	0.0156	0.0136	0.00974	0.0526	0.0234	0.0039	0.0253	0.00779	0.0234	0.0156	0.0117	0.0273	0.0156	0.0214	0.0136
Subdivision5	0.0273	0.0292	0.0214	0.0292	0.0234	0.0175	0.0448	0.00585	0.0195	0.0507	0.0156	0.00195	0.037	0.0214	0.0253	0.0234	0.0331	0.0234	0.0195	0.00585	0.00195	0.0117	0.0253	0.0292	0.0214	0.0195	0.00779	0.00195	0	0.0156	0.00779	0.0039	0.00779	0.00779	0.00779	0.00779	0.0117	0.0136	0.00974	0.0117	0.0214	0.0448	0.0468	0.0292	0.0429	0.0156	0	0.00974
Phycisphaerae	0.127	0.0214	0.0214	0.037	0.00974	0.0429	0.0039	0.037	0.0039	0.0331	0.0507	0.111	0.0701	0.0292	0.037	0.0156	0.037	0.0195	0.0175	0.00195	0.00585	0.00585	0.0136	0.0117	0.00779	0.0292	0.0507	0.0156	0.00974	0.0136	0.00779	0.00195	0.0039	0.0039	0.0117	0.037	0.0039	0	0.0117	0	0.00974	0.0136	0.0156	0.0156	0.037	0.00974	0.00779	0.0175
Lentisphaeria	0	0.00195	0	0	0.00974	0.0039	0	0.0117	0.00195	0.00195	0.0039	0.0039	0.00585	0.00779	0.0214	0.00585	0	0.00195	0.0136	0.0565	0.0838	0.0585	0.00974	0.00779	0.0039	0.00779	0.0039	0.0292	0.0175	0.0273	0.0156	0.0273	0.0156	0.0195	0.0156	0.0175	0.0117	0.00974	0.0156	0.0136	0.0253	0.00779	0	0	0	0.0701	0.037	0.0487
Deinococci	0.0331	0.0312	0.0214	0.0292	0.0273	0.0292	0.0487	0.0117	0.0253	0.0312	0.0253	0.0292	0.0409	0.0195	0.0273	0.0448	0.0292	0.0312	0.0818	0.0117	0.00974	0.0195	0.0701	0.0818	0.0273	0.0214	0.0331	0.00779	0.0039	0.0117	0.0331	0.0195	0.0195	0.0234	0.0253	0.039	0.0585	0.0292	0.0214	0.0273	0.0117	0.0331	0.0487	0.0779	0.0701	0.0117	0.0175	0.0234
Negativicutes	0	0.0117	0.00585	0.0273	0.0039	0.00585	0.037	0.00195	0.00195	0.0195	0.00779	0.0039	0.00779	0.0117	0.0136	0.0273	0.00585	0.0195	0	0.00195	0	0	0.00779	0	0.00195	0.0156	0.00195	0.00195	0.0039	0.0195	0.0039	0	0.00195	0.00779	0	0.00195	0	0	0	0.00195	0.00779	0.0039	0.00195	0.00195	0.00195	0.00195	0.00195	0
Ignavibacteria	0.00195	0.00195	0.00195	0.0117	0.00195	0.00779	0.0117	0.00195	0	0.0039	0.0409	0.0351	0.0234	0.00195	0	0.00195	0.00585	0.00585	0.00195	0.0409	0.0234	0.0351	0.00585	0	0.0039	0.00779	0.00585	0.156	0.152	0.125	0	0.00585	0	0.0039	0.0214	0.039	0.0253	0.00195	0.00195	0	0.0039	0	0	0.0039	0	0.0214	0.0253	0.037
Holophagae	0	0.00585	0.0136	0.0136	0.0039	0.0039	0.00779	0	0	0.00779	0	0.0039	0.0039	0.00779	0.0156	0.0234	0.0117	0.0195	0.0039	0	0	0	0.00585	0.00195	0.00195	0.00195	0.0039	0.0039	0.00195	0.0039	0.00195	0	0	0.0039	0	0	0	0	0	0.00585	0.00585	0	0	0	0.00195	0.00195	0.00195	0
