ID,type,node.degree,relative.degree,network,Salinity
ASV_92,abundant,2,0.267022697,n2,2.14375
ASV_95,abundant,9,1.201602136,n2,2.14375
ASV_96,abundant,3,0.400534045,n2,2.14375
ASV_97,abundant,13,1.73564753,n2,2.14375
ASV_99,abundant,22,2.937249666,n2,2.14375
ASV_1018,rare,1,0.133511348,n2,2.14375
ASV_1024,rare,10,1.335113485,n2,2.14375
ASV_1042,rare,15,2.002670227,n2,2.14375
ASV_1043,rare,1,0.133511348,n2,2.14375
ASV_1044,rare,1,0.133511348,n2,2.14375
ASV_1053,rare,2,0.267022697,n2,2.14375
ASV_1069,rare,1,0.133511348,n2,2.14375
ASV_1077,rare,6,0.801068091,n2,2.14375
ASV_1080,rare,8,1.068090788,n2,2.14375
ASV_1085,rare,1,0.133511348,n2,2.14375
ASV_1087,rare,6,0.801068091,n2,2.14375
ASV_1106,rare,1,0.133511348,n2,2.14375
ASV_1107,rare,3,0.400534045,n2,2.14375
ASV_1121,rare,1,0.133511348,n2,2.14375
ASV_1130,rare,1,0.133511348,n2,2.14375
ASV_1133,rare,3,0.400534045,n2,2.14375
ASV_1221,rare,1,0.133511348,n2,2.14375
ASV_1256,rare,2,0.267022697,n2,2.14375
ASV_1291,rare,2,0.267022697,n2,2.14375
ASV_1304,rare,3,0.400534045,n2,2.14375
ASV_1335,rare,1,0.133511348,n2,2.14375
ASV_1404,rare,1,0.133511348,n2,2.14375
ASV_1424,rare,1,0.133511348,n2,2.14375
ASV_1450,rare,5,0.667556742,n2,2.14375
ASV_1458,rare,2,0.267022697,n2,2.14375
ASV_1470,rare,5,0.667556742,n2,2.14375
ASV_1485,rare,1,0.133511348,n2,2.14375
ASV_1494,rare,1,0.133511348,n2,2.14375
ASV_1519,rare,1,0.133511348,n2,2.14375
ASV_1557,rare,2,0.267022697,n2,2.14375
ASV_1587,rare,1,0.133511348,n2,2.14375
ASV_1736,rare,1,0.133511348,n2,2.14375
ASV_1827,rare,2,0.267022697,n2,2.14375
ASV_1847,rare,1,0.133511348,n2,2.14375
ASV_1897,rare,1,0.133511348,n2,2.14375
ASV_2043,rare,1,0.133511348,n2,2.14375
ASV_2046,rare,2,0.267022697,n2,2.14375
ASV_2083,rare,1,0.133511348,n2,2.14375
ASV_2223,rare,1,0.133511348,n2,2.14375
ASV_2228,rare,3,0.400534045,n2,2.14375
ASV_2381,rare,2,0.267022697,n2,2.14375
ASV_2408,rare,1,0.133511348,n2,2.14375
ASV_2570,rare,1,0.133511348,n2,2.14375
ASV_2591,rare,2,0.267022697,n2,2.14375
ASV_2618,rare,2,0.267022697,n2,2.14375
ASV_961,rare,4,0.534045394,n2,2.14375
ASV_971,rare,1,0.133511348,n2,2.14375
ASV_981,rare,5,0.667556742,n2,2.14375
ASV_1,abundant,28,3.058772121,n3,4.94625
ASV_100,abundant,3,0.327725584,n3,4.94625
ASV_102,abundant,16,1.747869784,n3,4.94625
ASV_103,abundant,2,0.218483723,n3,4.94625
ASV_104,abundant,42,4.588158182,n3,4.94625
ASV_106,abundant,23,2.512562814,n3,4.94625
ASV_108,abundant,13,1.420144199,n3,4.94625
ASV_109,abundant,17,1.857111645,n3,4.94625
ASV_11,abundant,28,3.058772121,n3,4.94625
ASV_110,abundant,5,0.546209307,n3,4.94625
ASV_111,abundant,3,0.327725584,n3,4.94625
ASV_114,abundant,22,2.403320953,n3,4.94625
ASV_116,abundant,7,0.76469303,n3,4.94625
ASV_119,abundant,12,1.310902338,n3,4.94625
ASV_12,abundant,9,0.983176753,n3,4.94625
ASV_121,abundant,1,0.109241861,n3,4.94625
ASV_123,abundant,30,3.277255844,n3,4.94625
ASV_124,abundant,13,1.420144199,n3,4.94625
ASV_125,abundant,20,2.18483723,n3,4.94625
ASV_126,abundant,2,0.218483723,n3,4.94625
ASV_127,abundant,26,2.840288399,n3,4.94625
ASV_128,abundant,38,4.151190736,n3,4.94625
ASV_129,abundant,11,1.201660476,n3,4.94625
ASV_13,abundant,34,3.71422329,n3,4.94625
ASV_130,abundant,4,0.436967446,n3,4.94625
ASV_133,abundant,21,2.294079091,n3,4.94625
ASV_134,abundant,2,0.218483723,n3,4.94625
ASV_135,abundant,10,1.092418615,n3,4.94625
ASV_136,abundant,25,2.731046537,n3,4.94625
