,Difference,Network,Salinity
732,0,n1,0.81375
733,0,n1,0.81375
734,0,n1,0.81375
735,0,n1,0.81375
736,-1.146496815,n1,0.81375
737,-0.382165605,n1,0.81375
738,0,n1,0.81375
739,-0.127388535,n1,0.81375
740,-0.382165605,n1,0.81375
741,-0.50955414,n1,0.81375
742,0,n1,0.81375
743,-0.25477707,n1,0.81375
744,0,n1,0.81375
745,0,n1,0.81375
746,0,n1,0.81375
747,-0.127388535,n1,0.81375
748,0,n1,0.81375
749,-0.127388535,n1,0.81375
750,-0.127388535,n1,0.81375
751,0,n1,0.81375
752,-0.25477707,n1,0.81375
753,0,n1,0.81375
754,-0.50955414,n1,0.81375
755,-0.127388535,n1,0.81375
756,-0.127388535,n1,0.81375
757,-0.25477707,n1,0.81375
758,0,n1,0.81375
759,-0.127388535,n1,0.81375
760,0,n1,0.81375
761,-0.891719745,n1,0.81375
762,-0.127388535,n1,0.81375
763,0,n1,0.81375
764,-0.382165605,n1,0.81375
765,0,n1,0.81375
766,0,n1,0.81375
767,-0.25477707,n1,0.81375
768,-0.636942675,n1,0.81375
769,-0.382165605,n1,0.81375
770,-0.127388535,n1,0.81375
771,-0.382165605,n1,0.81375
772,-0.127388535,n1,0.81375
773,0,n1,0.81375
774,0,n1,0.81375
775,0,n1,0.81375
776,-0.127388535,n1,0.81375
777,-0.25477707,n1,0.81375
778,-0.50955414,n1,0.81375
779,-0.127388535,n1,0.81375
780,-3.821656051,n1,0.81375
781,-3.184713376,n1,0.81375
782,0,n1,0.81375
783,-0.25477707,n1,0.81375
784,-0.25477707,n1,0.81375
785,0,n1,0.81375
786,-0.127388535,n1,0.81375
787,0,n1,0.81375
788,-0.891719745,n1,0.81375
789,-0.127388535,n1,0.81375
790,-0.25477707,n1,0.81375
791,-0.382165605,n1,0.81375
792,-0.127388535,n1,0.81375
793,-0.127388535,n1,0.81375
794,0,n1,0.81375
795,-0.127388535,n1,0.81375
796,0,n1,0.81375
797,0,n1,0.81375
798,0,n1,0.81375
799,0,n1,0.81375
800,-0.636942675,n1,0.81375
801,0,n1,0.81375
802,0,n1,0.81375
803,-0.127388535,n1,0.81375
804,-1.01910828,n1,0.81375
805,-0.382165605,n1,0.81375
806,0,n1,0.81375
807,0,n1,0.81375
808,0,n1,0.81375
809,0,n1,0.81375
810,-0.127388535,n1,0.81375
811,0.50955414,n1,0.81375
812,0.50955414,n1,0.81375
813,0.382165605,n1,0.81375
814,0,n1,0.81375
815,0.50955414,n1,0.81375
816,0.50955414,n1,0.81375
817,0.50955414,n1,0.81375
818,0.127388535,n1,0.81375
819,0.50955414,n1,0.81375
820,0,n1,0.81375
821,0.50955414,n1,0.81375
822,0.50955414,n1,0.81375
823,0.50955414,n1,0.81375
824,0.50955414,n1,0.81375
825,0.50955414,n1,0.81375
826,-0.636942675,n1,0.81375
827,0.127388535,n1,0.81375
828,0.50955414,n1,0.81375
829,0.382165605,n1,0.81375
830,0.127388535,n1,0.81375
831,0,n1,0.81375
832,0.50955414,n1,0.81375
833,0.25477707,n1,0.81375
834,0.50955414,n1,0.81375
835,0.50955414,n1,0.81375
836,0.50955414,n1,0.81375
837,0.382165605,n1,0.81375
838,0.50955414,n1,0.81375
839,0.382165605,n1,0.81375
840,0.382165605,n1,0.81375
841,0.50955414,n1,0.81375
842,0.25477707,n1,0.81375
843,0.50955414,n1,0.81375
844,0,n1,0.81375
845,0.382165605,n1,0.81375
846,0.382165605,n1,0.81375
847,0.25477707,n1,0.81375
848,0.50955414,n1,0.81375
849,0.382165605,n1,0.81375
850,0.50955414,n1,0.81375
851,-0.382165605,n1,0.81375
852,0.382165605,n1,0.81375
853,0.50955414,n1,0.81375
854,0.127388535,n1,0.81375
855,0.50955414,n1,0.81375
856,0.50955414,n1,0.81375
857,0.25477707,n1,0.81375
858,-0.127388535,n1,0.81375
859,0.127388535,n1,0.81375
860,0.382165605,n1,0.81375
861,0.127388535,n1,0.81375
862,0.382165605,n1,0.81375
863,0.50955414,n1,0.81375
864,0.50955414,n1,0.81375
865,0.50955414,n1,0.81375
866,0.382165605,n1,0.81375
867,0.25477707,n1,0.81375
868,0,n1,0.81375
869,0.382165605,n1,0.81375
870,-3.312101911,n1,0.81375
871,-2.675159236,n1,0.81375
872,0.50955414,n1,0.81375
873,0.25477707,n1,0.81375
874,0.25477707,n1,0.81375
875,0.50955414,n1,0.81375
876,0.382165605,n1,0.81375
877,0.50955414,n1,0.81375
878,-0.382165605,n1,0.81375
879,0.382165605,n1,0.81375
880,0.25477707,n1,0.81375
881,0.127388535,n1,0.81375
882,0.382165605,n1,0.81375
883,0.382165605,n1,0.81375
884,0.50955414,n1,0.81375
885,0.382165605,n1,0.81375
886,0.50955414,n1,0.81375
887,0.50955414,n1,0.81375
888,0.50955414,n1,0.81375
889,0.50955414,n1,0.81375
890,-0.127388535,n1,0.81375
891,0.50955414,n1,0.81375
892,0.50955414,n1,0.81375
893,0.382165605,n1,0.81375
894,-0.50955414,n1,0.81375
895,0.127388535,n1,0.81375
